Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-85,8,8,3,3,128,32,1,
Conv2d-86,8,8,1,1,992,128,1,
Conv2d-87,8,8,3,3,128,32,1,
Conv2d-88,8,8,1,1,1024,512,1,
Conv2d-89,4,4,1,1,512,128,1,
Conv2d-90,4,4,3,3,128,32,1,
Conv2d-91,4,4,1,1,544,128,1,
Conv2d-92,4,4,3,3,128,32,1,
Conv2d-93,4,4,1,1,576,128,1,
Conv2d-94,4,4,3,3,128,32,1,
Conv2d-95,4,4,1,1,608,128,1,
Conv2d-96,4,4,3,3,128,32,1,
Conv2d-97,4,4,1,1,640,128,1,
Conv2d-98,4,4,3,3,128,32,1,
Conv2d-99,4,4,1,1,672,128,1,
Conv2d-100,4,4,3,3,128,32,1,
Conv2d-101,4,4,1,1,704,128,1,
Conv2d-102,4,4,3,3,128,32,1,
Conv2d-103,4,4,1,1,736,128,1,
Conv2d-104,4,4,3,3,128,32,1,
Conv2d-105,4,4,1,1,768,128,1,
Conv2d-106,4,4,3,3,128,32,1,
Conv2d-107,4,4,1,1,800,128,1,
Conv2d-108,4,4,3,3,128,32,1,
Conv2d-109,4,4,1,1,832,128,1,
Conv2d-110,4,4,3,3,128,32,1,
Conv2d-111,4,4,1,1,864,128,1,
Conv2d-112,4,4,3,3,128,32,1,
Conv2d-113,4,4,1,1,896,128,1,
Conv2d-114,4,4,3,3,128,32,1,
Conv2d-115,4,4,1,1,928,128,1,
Conv2d-116,4,4,3,3,128,32,1,
Conv2d-117,4,4,1,1,960,128,1,
Conv2d-118,4,4,3,3,128,32,1,
Conv2d-119,4,4,1,1,992,128,1,
Conv2d-120,4,4,3,3,128,32,1,
Linear-121,1,1,1,1,1024,10,1,
